;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
343;NA;Eliades;Theodore;Dr.;Ord. Professor für Kieferorthopädie und Kinderzahnmedizin;MEF;Link;NA;Eliades, Theodore
344;NA;Ernst;Wolfgang;Dr. iur.;Ord. Professor für Römisches Recht und Privatrecht;RWF;Link;NA;Ernst, Wolfgang
345;NA;Esser;Frank;Dr.;Ord. Professor für Publizistikwissenschaft mit Schwerpunkt Vergleichende Medienforschung;PHF;Link;NA;Esser, Frank
346;NA;Ewerhart;Christian;Dr. rer. pol.;Ord. Professor für Informations- und Vertragsökonomik;WWF;Link;NA;Ewerhart, Christian
347;NA;Fabrikant;Sara Irina;Dr.;Ord. Professorin für Geographie, inbesondere Geographische Informationswissenschaft;MNF;Link;NA;Fabrikant, Sara Irina
348;NA;Farshad;Mazda;Dr. med.;Ord. Professor für Orthopädie;MEF;Link;NA;Farshad, Mazda
349;NA;Fehr;Ernst;Dr. rer. soc. oec.;Ord. Professor für Volkswirtschaftslehre mit den Schwerpunkten Sozialpolitik, Arbeitsmarkt- und Verteilungstheorie;WWF;Link;NA;Fehr, Ernst
350;NA;Fink;Daniel A.;Dr. med.;Ord. Professor für Frauenheilkunde;MEF;Link;NA;Fink, Daniel A.
351;NA;Finke;Peter;Dr.;Ord. Professor für Ethnologie;PHF;Link;NA;Finke, Peter
352;NA;Flitsch;Mareile;Dr.;Ord. Professorin für Ethnologie;PHF;Link;NA;Flitsch, Mareile
353;NA;Flückiger;Barbara;Dr. phil.;Ord. Professorin für Flmwissenschaft;PHF;Link;NA;Flückiger, Barbara
354;NA;Fraefel;Cornel;Dr. sc. nat. ETH;Ord. Professor für Virologie;VSF;Link;NA;Fraefel, Cornel
355;NA;Franck;Egon;Dr. oec. publ.;Ord. Professor für Betriebswirtschaftslehre mit Schwerpunkt Strategische Unternehmensführung und Unternehmenspolitik;WWF;Link;NA;Franck, Egon
356;NA;Freund;Alexandra M.;Dr.;Ord. Professorin für Entwicklungspsychologie: Erwachsenenalter;PHF;Link;NA;Freund, Alexandra M.
357;NA;Frey;Jörg;Dr.;Ord. Professor für Neutestamentliche Wissenschaft mit den Schwerpunkten Antikes Judentum und Hermen;THF;Link;NA;Frey, Jörg
358;NA;Fritschy;Jean-Marc;Dr. phil. nat.;Ord. Professor für Neuropharmakologie;MEF;Link;NA;Fritschy, Jean-Marc
359;NA;Fürst;Anton;Dr. med. vet., dipl. ECVS;Ord. Professor für Pferdechirurgie;VSF;Link;NA;Fürst, Anton
360;NA;Gächter;Thomas;Dr. iur.;Ord. Professor für Staatsrecht, Verwaltungsrecht und Sozialversicherungsrecht;RWF;Link;NA;Gächter, Thomas
361;NA;Gademann;Karl;Dr.;Ord. Professor für Organische Chemie und Chemische Biologie;MNF;Link;NA;Gademann, Karl
362;NA;Gall;Harald;Dr.;Ord. Professor für Software Engineering;WWF;Link;NA;Gall, Harald
363;NA;Gallo;Luigi M.;Dr. sc. techn., dipl. El.-Ing. ETH;Ord. Professor für Physiologie und Biomechanik des Kausystems;MEF;Link;NA;Gallo, Luigi M.
364;NA;Gassmann;Max;Dr. med. vet.;Ord. Professor für Veterinärphysiologie;VSF;Link;NA;Gassmann, Max
365;NA;Gehrmann;Thomas;Dr.;Ord. Professor für Theoretische Physik;MNF;Link;NA;Gehrmann, Thomas
366;NA;Gilardi;Fabrizio;Dr.;Ord. Professor für Policy-Analyse;PHF;Link;NA;Gilardi, Fabrizio
367;NA;Gilmour;Darren;Dr.;Ord. Professor für Molekulare Entwicklungsbiologie;MNF;Link;NA;Gilmour, Darren
368;NA;Giovanoli;Pietro;Dr.;Ord. Professor für Wiederherstellungschirurgie;MEF;Link;NA;Giovanoli, Pietro
369;NA;Giuriato;Davide;Dr.;Ord. Professor für Neuere deutsche Literaturwissenschaft;PHF;Link;NA;Giuriato, Davide
370;NA;Glaser;Elvira;Dr. phil.;Ord. Professorin für Germanische Philologie;PHF;Link;NA;Glaser, Elvira
371;NA;Glessgen;Martin-Dietrich;Dr.;Ord. Professor für Romanische Philologie unter bes. Berücksichtigung der französischen Sprachwissenschaft;PHF;Link;NA;Glessgen, Martin-Dietrich
372;NA;Glock;Hans-Johann;Dr.;Ord. Professor für Philosophie mit besonderer Berücksichtigung der Theoretischen Philosophie;PHF;Link;NA;Glock, Hans-Johann
373;NA;Gockel;Bettina;Dr.;Ord. Professorin für Geschichte der bildenden Kunst;PHF;Link;NA;Gockel, Bettina
374;NA;Goltermann;Svenja;Dr.;Ord. Professorin für Geschichte der Neuzeit;PHF;Link;NA;Goltermann, Svenja
375;NA;Gonon;Philipp;Dr.;Ord. Professor für Berufsbildung;PHF;Link;NA;Gonon, Philipp
376;NA;Gorodnik;Alexander;Dr.;Ord. Professor für Dynamische Systeme und Ergodentheorie;MNF;Link;NA;Gorodnik, Alexander
377;NA;Göx;Robert F.;Dr.;Ord. Professor für Managerial Accounting;WWF;Link;NA;Göx, Robert F.
378;NA;Graber;Christoph Beat;Dr.;Ord. Professor für Rechtssoziologie mit besonderer Berücksichtigung des Medienrechts;RWF;Link;NA;Graber, Christoph Beat
379;NA;Greber;Urs;Dr. phil.;Ord. Professor für Molekulare Zellbiologie;MNF;Link;NA;Greber, Urs
380;NA;Griffel;Alain;Dr. iur.;Ord. Professor für Staats- und Verwaltungsrecht mit Schwerpunkt Raumplanungs-, Bau- und Umweltrecht;RWF;Link;NA;Griffel, Alain
381;NA;Grimm;Christian;Dr. phil. nat.;Ord. Professor für Experimentelle Ophthalmologie;MEF;Link;NA;Grimm, Christian
382;NA;Groote;Inga Mai;Dr. phil.;Ord. Professorin für Musikwissenschaft;PHF;Link;NA;Groote, Inga Mai
383;NA;Grossniklaus;Ueli;Dr. phil. II;Ord. Professor für Entwicklungsbiologie der Pflanzen;MNF;Link;NA;Grossniklaus, Ueli
