;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
658;NA;Zweimüller;Josef;Dr. rer. soc. oec.;Ord. Professor für Volkswirtschaftslehre mit dem Schwerpunkt Makro-Ökonomik;WWF;Link;NA;Zweimüller, Josef
659;NA;NA;;NA;NA;WWF;NA;NA;Alós-Ferrer, Carlos
660;NA;NA;;NA;NA;VSF;NA;NA;Altmeyer, Matthias
661;NA;NA;;NA;NA;WWF;NA;NA;Brenøe, Anne A.
662;NA;NA;;NA;NA;MEF;NA;NA;Camici, Giovanni G.
663;NA;NA;;NA;NA;MEF;NA;NA;Ernst, Konrad
664;NA;NA;;NA;NA;MEF;NA;NA;Flück, Martin
665;NA;NA;;NA;NA;MNF;NA;NA;Holland, Jason Philip
666;NA;NA;;NA;NA;PHF;NA;NA;Jarren, Otfried
667;NA;NA;;NA;NA;PHF;NA;NA;Keller, Kristina Hildegard
668;NA;NA;;NA;NA;MEF;NA;NA;Kollias, Spyridon
669;NA;NA;;NA;NA;MEF;NA;NA;Kratzer, Adelgunde
670;NA;NA;;NA;NA;andere;NA;NA;Löwe, Christiane
671;NA;NA;;NA;NA;MEF;NA;NA;Maake, Caroline
672;NA;NA;;NA;NA;VSF;NA;NA;Mächler, Hans
673;NA;NA;;NA;NA;MEF;NA;NA;Nombela, Arrieta César
674;NA;NA;;NA;NA;MEF;NA;NA;Paul, Mitchell
675;NA;NA;;NA;NA;MEF;NA;NA;Polymenidou, Magdalini
676;NA;NA;;NA;NA;MEF;NA;NA;Sander, Peter
677;NA;NA;;NA;NA;PHF;NA;NA;Schaber, Peter (Empfängerin: Deplazes Zemp, Anna)
678;NA;NA;;NA;NA;MEF;NA;NA;Seeger, Markus
679;NA;NA;;NA;NA;MEF;NA;NA;Senti, Gabriela
680;NA;NA;;NA;NA;MNF;NA;NA;Soluyanov, Alexey
681;NA;NA;;NA;NA;MEF;NA;NA;Sven, Jan
682;NA;NA;;NA;NA;andere;NA;NA;Universität Zürich
683;NA;NA;;NA;NA;VSF;NA;NA;von Rechenberg, Brigitte
684;NA;NA;;NA;NA;VSF;NA;NA;Weishaupt, Michael
685;NA;NA;;NA;NA;RWF;NA;NA;Wipf, Peter
686;NA;NA;;NA;NA;MEF;NA;NA;Zenz, Maja
